File1: FID-05.txt, File2: FID-08.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.93, Tense Change: True, Voice Change: False
File1: FID-05.txt, File2: FID-09.txt - TF-IDF Similarity: 0.06, Semantic Similarity: 0.92, Tense Change: False, Voice Change: False
File1: FID-05.txt, File2: FID-10.txt - TF-IDF Similarity: 0.07, Semantic Similarity: 0.83, Tense Change: False, Voice Change: False
File1: FID-05.txt, File2: SCRAMBLED-01.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.93, Tense Change: True, Voice Change: False
File1: FID-06.txt, File2: FID-01.txt - TF-IDF Similarity: 0.02, Semantic Similarity: 0.87, Tense Change: False, Voice Change: False
File1: FID-06.txt, File2: FID-02.txt - TF-IDF Similarity: 0.05, Semantic Similarity: 0.88, Tense Change: False, Voice Change: False
File1: FID-06.txt, File2: FID-03.txt - TF-IDF Similarity: 0.05, Semantic Similarity: 0.84, Tense Change: False, Voice Change: False
File1: FID-06.txt, File2: FID-04.txt - TF-IDF Similarity: 0.15, Semantic Similarity: 0.93, Tense Change: False, Voice Change: False
File1: FID-06.txt, File2: FID-05.txt - TF-IDF Similarity: 0.04, Semantic Similarity: 0.86, Tense Change: True, Voice Change: False
File1: FID-06.txt, File2: FID-07.txt - TF-IDF Similarity: 0.12, Semantic Similarity: 0.90, Tense Change: False, Voice Change: False
File1: FID-06.txt, File2: FID-08.txt - TF-IDF Similarity: 0.06, Semantic Similarity: 0.87, Tense Change: False, Voice Change: False
File1: FID-06.txt, File2: FID-09.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.88, Tense Change: True, Voice Change: False
File1: FID-06.txt, File2: FID-10.txt - TF-IDF Similarity: 0.05, Semantic Similarity: 0.89, Tense Change: True, Voice Change: False
File1: FID-06.txt, File2: SCRAMBLED-01.txt - TF-IDF Similarity: 0.02, Semantic Similarity: 0.87, Tense Change: False, Voice Change: False
File1: FID-07.txt, File2: FID-01.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.88, Tense Change: False, Voice Change: False
File1: FID-07.txt, File2: FID-02.txt - TF-IDF Similarity: 0.05, Semantic Similarity: 0.90, Tense Change: False, Voice Change: False
File1: FID-07.txt, File2: FID-03.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.90, Tense Change: False, Voice Change: False
File1: FID-07.txt, File2: FID-04.txt - TF-IDF Similarity: 0.17, Semantic Similarity: 0.94, Tense Change: False, Voice Change: False
File1: FID-07.txt, File2: FID-05.txt - TF-IDF Similarity: 0.02, Semantic Similarity: 0.90, Tense Change: True, Voice Change: False
File1: FID-07.txt, File2: FID-06.txt - TF-IDF Similarity: 0.12, Semantic Similarity: 0.90, Tense Change: False, Voice Change: False
File1: FID-07.txt, File2: FID-08.txt - TF-IDF Similarity: 0.07, Semantic Similarity: 0.91, Tense Change: False, Voice Change: False
File1: FID-07.txt, File2: FID-09.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.93, Tense Change: True, Voice Change: False
File1: FID-07.txt, File2: FID-10.txt - TF-IDF Similarity: 0.14, Semantic Similarity: 0.92, Tense Change: True, Voice Change: False
File1: FID-07.txt, File2: SCRAMBLED-01.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.88, Tense Change: False, Voice Change: False
File1: FID-08.txt, File2: FID-01.txt - TF-IDF Similarity: 0.11, Semantic Similarity: 0.95, Tense Change: False, Voice Change: False
File1: FID-08.txt, File2: FID-02.txt - TF-IDF Similarity: 0.04, Semantic Similarity: 0.90, Tense Change: False, Voice Change: False
File1: FID-08.txt, File2: FID-03.txt - TF-IDF Similarity: 0.13, Semantic Similarity: 0.93, Tense Change: False, Voice Change: False
File1: FID-08.txt, File2: FID-04.txt - TF-IDF Similarity: 0.06, Semantic Similarity: 0.91, Tense Change: False, Voice Change: False
File1: FID-08.txt, File2: FID-05.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.93, Tense Change: True, Voice Change: False
File1: FID-08.txt, File2: FID-06.txt - TF-IDF Similarity: 0.06, Semantic Similarity: 0.87, Tense Change: False, Voice Change: False
File1: FID-08.txt, File2: FID-07.txt - TF-IDF Similarity: 0.07, Semantic Similarity: 0.91, Tense Change: False, Voice Change: False
File1: FID-08.txt, File2: FID-09.txt - TF-IDF Similarity: 0.04, Semantic Similarity: 0.91, Tense Change: True, Voice Change: False
File1: FID-08.txt, File2: FID-10.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.85, Tense Change: True, Voice Change: False
File1: FID-08.txt, File2: SCRAMBLED-01.txt - TF-IDF Similarity: 0.11, Semantic Similarity: 0.95, Tense Change: False, Voice Change: False
File1: FID-09.txt, File2: FID-01.txt - TF-IDF Similarity: 0.01, Semantic Similarity: 0.91, Tense Change: True, Voice Change: False
File1: FID-09.txt, File2: FID-02.txt - TF-IDF Similarity: 0.14, Semantic Similarity: 0.91, Tense Change: True, Voice Change: False
File1: FID-09.txt, File2: FID-03.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.91, Tense Change: True, Voice Change: False
File1: FID-09.txt, File2: FID-04.txt - TF-IDF Similarity: 0.02, Semantic Similarity: 0.91, Tense Change: True, Voice Change: False
File1: FID-09.txt, File2: FID-05.txt - TF-IDF Similarity: 0.06, Semantic Similarity: 0.92, Tense Change: False, Voice Change: False
File1: FID-09.txt, File2: FID-06.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.88, Tense Change: True, Voice Change: False
File1: FID-09.txt, File2: FID-07.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.93, Tense Change: True, Voice Change: False
File1: FID-09.txt, File2: FID-08.txt - TF-IDF Similarity: 0.04, Semantic Similarity: 0.91, Tense Change: True, Voice Change: False
File1: FID-09.txt, File2: FID-10.txt - TF-IDF Similarity: 0.10, Semantic Similarity: 0.88, Tense Change: False, Voice Change: False
File1: FID-09.txt, File2: SCRAMBLED-01.txt - TF-IDF Similarity: 0.01, Semantic Similarity: 0.91, Tense Change: True, Voice Change: False
File1: FID-10.txt, File2: FID-01.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.85, Tense Change: True, Voice Change: False
File1: FID-10.txt, File2: FID-02.txt - TF-IDF Similarity: 0.07, Semantic Similarity: 0.85, Tense Change: True, Voice Change: False
File1: FID-10.txt, File2: FID-03.txt - TF-IDF Similarity: 0.17, Semantic Similarity: 0.86, Tense Change: True, Voice Change: False
File1: FID-10.txt, File2: FID-04.txt - TF-IDF Similarity: 0.04, Semantic Similarity: 0.89, Tense Change: True, Voice Change: False
File1: FID-10.txt, File2: FID-05.txt - TF-IDF Similarity: 0.07, Semantic Similarity: 0.83, Tense Change: False, Voice Change: False
File1: FID-10.txt, File2: FID-06.txt - TF-IDF Similarity: 0.05, Semantic Similarity: 0.89, Tense Change: True, Voice Change: False
File1: FID-10.txt, File2: FID-07.txt - TF-IDF Similarity: 0.14, Semantic Similarity: 0.92, Tense Change: True, Voice Change: False
File1: FID-10.txt, File2: FID-08.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.85, Tense Change: True, Voice Change: False
File1: FID-10.txt, File2: FID-09.txt - TF-IDF Similarity: 0.10, Semantic Similarity: 0.88, Tense Change: False, Voice Change: False
File1: FID-10.txt, File2: SCRAMBLED-01.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.85, Tense Change: True, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-01.txt - TF-IDF Similarity: 1.00, Semantic Similarity: 1.00, Tense Change: False, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-02.txt - TF-IDF Similarity: 0.02, Semantic Similarity: 0.91, Tense Change: False, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-03.txt - TF-IDF Similarity: 0.09, Semantic Similarity: 0.94, Tense Change: False, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-04.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.90, Tense Change: False, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-05.txt - TF-IDF Similarity: 0.08, Semantic Similarity: 0.93, Tense Change: True, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-06.txt - TF-IDF Similarity: 0.02, Semantic Similarity: 0.87, Tense Change: False, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-07.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.88, Tense Change: False, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-08.txt - TF-IDF Similarity: 0.11, Semantic Similarity: 0.95, Tense Change: False, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-09.txt - TF-IDF Similarity: 0.01, Semantic Similarity: 0.91, Tense Change: True, Voice Change: False
File1: SCRAMBLED-01.txt, File2: FID-10.txt - TF-IDF Similarity: 0.03, Semantic Similarity: 0.85, Tense Change: True, Voice Change: False
